name,salary_from,salary_to,salary_currency,area_name,published_at
Системный инженер,,,,Барнаул,2022-12-19T04:57:15+0300
Сервисный инженер,90000,,RUR,Тюмень,2022-12-19T04:18:59+0300
Web-программист,,,,Барнаул,2022-12-19T04:57:31+0300
Программист 1C,100000,,RUR,Красноярск,2022-12-19T04:42:36+0300
Гибщик металла,54000,,RUR,Красноярск,2022-12-19T05:15:12+0300
Оператор/печатник трафаретной печати,35000,,RUR,Краснодар,2022-12-19T01:22:02+0300
Аналитик 1С,60000,80000,RUR,Екатеринбург,2022-12-19T05:19:43+0300
Сервисный инженер,50000,,RUR,Хабаровск,2022-12-19T03:20:19+0300
Токарь,60000,,RUR,Томск,2022-12-19T05:04:18+0300
Ведущий сетевой инженер,82000,82000,RUR,Владивосток,2022-12-19T03:26:22+0300
Инженер 1 категории участка системного администрирования и защиты информации,40000,,RUR,Чита,2022-12-19T03:11:42+0300
Дизайнер,,,,Чита,2022-12-19T03:18:36+0300
Руководитель проекта,120000,,RUR,Кемерово,2022-12-19T04:51:21+0300
Оператор листогибочного пресса,,,,Хабаровск,2022-12-19T04:52:01+0300
Ведущий специалист по информационной безопасности,130000,,RUR,Новокузнецк,2022-12-19T05:24:25+0300
Продакт-менеджер,44000,,RUR,Томск,2022-12-19T05:05:47+0300
Вечерний инженер отдела технического обслуживания абонентов,38000,50000,RUR,Хабаровск,2022-12-19T04:12:33+0300
Программист Delphi,180000,350000,RUR,Санкт-Петербург,2022-12-19T00:28:01+0300
Копирайтер со знанием английского языка (IT-компания),60000,80000,RUR,Москва,2022-12-19T03:24:40+0300
Эксперт 2 линии SOC,100000,,RUR,Новосибирск,2022-12-19T05:12:13+0300
Системный администратор,55000,62000,RUR,Хабаровск,2022-12-19T05:58:57+0300
Журналист в военно-историческое издание,45000,,RUR,Владивосток,2022-12-19T03:37:48+0300
Администратор корпоративных систем на Сахалин,80000,100000,RUR,Хабаровск,2022-12-19T03:52:48+0300
Ведущий инженер по ремонту ПК,20000,39150,RUR,Кемерово,2022-12-19T04:50:26+0300
Программист PHP (Full Stack),200000,,RUR,Москва,2022-12-19T02:55:11+0300
Токарь-универсал,45000,,RUR,Омск,2022-12-19T04:49:38+0300
Аналитик продаж,60000,80000,RUR,Красноярск,2022-12-19T05:13:43+0300
React Native mobile Developer,,,,Санкт-Петербург,2022-12-19T00:59:48+0300
Разработчик 1С,100000,135000,RUR,Красноярск,2022-12-19T04:49:45+0300
Наладчик фрезерных станков с ЧПУ,100000,130000,RUR,Санкт-Петербург,2022-12-19T00:20:13+0300
"Senior Software Engineer Python, C++, .NET- Epesoft (to Montenegro)",,,,Санкт-Петербург,2022-12-19T05:12:32+0300
Программист 1C,35000,,RUR,Кемерово,2022-12-19T05:29:40+0300
Бизнес-аналитик (телекоммуникации и связь),,,,Санкт-Петербург,2022-12-19T00:59:21+0300
Владелец ИТ-продукта / Product manager,60000,130000,RUR,Владивосток,2022-12-19T02:28:48+0300
Сервисный инженер,40000,60000,RUR,Кемерово,2022-12-19T05:20:56+0300
"Senior Linux Administrator, DevOps",2000,3000,USD,США,2022-12-19T02:09:38+0300
Дизайнер-декоратор по шторам,55000,100000,RUR,Южно-Сахалинск,2022-12-19T01:26:31+0300
Системный администратор,,,,Новосибирск,2022-12-19T05:28:56+0300
Инженер развития инфраструктуры,,,,Новосибирск,2022-12-19T05:37:41+0300
Наладчик станков и манипуляторов с ЧПУ,60000,,RUR,Барнаул,2022-12-19T04:29:10+0300
Руководитель направления бизнес-анализа,,,,Санкт-Петербург,2022-12-19T02:24:17+0300
Оператор станков с ЧПУ 5 разряда (фрезерный обрабатывающий центр) возможна работа по ГПХ,75000,90000,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Программист 1С (дистанционно),,,,Уссурийск,2022-12-19T02:23:17+0300
Администратор CRM-системы Битрикс 24,30000,30000,RUR,Барнаул,2022-12-19T04:59:27+0300
Руководитель домена данных (направление «системы планирования цепей поставок»),,,,Санкт-Петербург,2022-12-19T03:18:00+0300
UX writer,1400,2000,USD,Тбилиси,2022-12-19T02:05:10+0300
Инженер IoT,,,,Москва,2022-12-19T01:28:02+0300
Администратор корпоративных систем на Сахалин,80000,100000,RUR,Южно-Сахалинск,2022-12-19T03:52:48+0300
Арт-директор,,,,Санкт-Петербург,2022-12-19T01:26:21+0300
Программист 1С (дистанционно),,,,Чита,2022-12-19T02:23:17+0300
Инженер по тестированию техники,60000,70000,RUR,Новый (Приморский край),2022-12-19T02:09:41+0300
Механик по транспорту,19150,,RUR,Новосибирск,2022-12-19T04:59:20+0300
Оператор станков с ЧПУ (металлообработка).,50000,,RUR,Томск,2022-12-19T05:56:43+0300
Фрезеровщик,35000,90000,RUR,Каменск-Уральский,2022-12-19T04:43:01+0300
Оператор станков с ПУ (гибка),41103,41103,RUR,Карачев,2022-12-19T04:07:55+0300
